date,rainfall_mm,temperature_c,humidity_pct,wind_speed_mps,solar_index
2026-03-01,3.2,23.8,69.7,2.28,0.78
2026-03-02,2.2,25.9,62.0,1.62,0.71
2026-03-03,3.0,26.8,64.4,2.11,0.75
2026-03-04,1.6,27.0,64.6,2.09,0.58
2026-03-05,23.7,26.6,61.0,1.36,0.62
2026-03-06,0.0,26.7,66.8,3.07,0.49
2026-03-07,1.3,24.9,61.2,1.83,0.72
2026-03-08,,24.9,69.6,3.1,0.65
2026-03-09,0.0,23.6,64.0,2.12,0.72
2026-03-10,18.4,22.5,74.4,2.62,0.76
2026-03-11,6.7,22.4,67.6,2.32,0.8
2026-03-12,7.7,22.0,68.3,2.7,0.69
2026-03-13,0.0,23.4,63.5,2.01,0.7
2026-03-14,0.0,45.8,66.1,2.2,0.57
2026-03-15,8.7,24.1,67.0,1.51,0.58
2026-03-16,13.4,26.0,56.3,2.16,0.5
2026-03-17,0.3,26.3,63.4,1.69,0.57
2026-03-18,7.2,26.9,65.1,2.4,0.66
2026-03-19,26.3,27.4,61.6,2.11,0.76
2026-03-20,15.2,26.9,60.0,2.47,0.8
2026-03-21,8.1,25.1,,1.91,0.78
2026-03-22,0.7,24.6,63.8,1.14,0.79
2026-03-23,6.8,23.7,68.1,2.39,0.65
2026-03-24,1.9,21.4,68.6,1.36,0.62
2026-03-25,1.9,22.0,69.2,1.33,0.53
2026-03-26,85.0,22.5,70.5,1.65,0.58
2026-03-27,3.2,23.1,74.6,2.72,0.59
2026-03-28,0.0,22.4,64.1,2.38,0.77
2026-03-29,0.0,24.8,64.3,2.48,0.75
2026-03-30,0.9,25.1,65.3,1.55,0.79
