ts,rg1,rg2,rg1tt,rg2tt,rg1tp,rg2tp,temp_bmx,press_bmx,temp_mcp,temp_sht,humidity_sht,si1145_vis,si1145_ir,si1145_uv,wind_spd,wind_dir,wind_gust,wind_gust_dir,heat_idx,wet_bulb_temp,wet_bulb_globe_temp
2026-04-22T00:00:55Z,0,0,4.2,0,7.2,0,16,847.8,16.2,16.4,96.6,260,254,0,0,127,0,0,16.5,16,12.3
2026-04-22T00:16:18Z,0,0,4.2,0,7.2,0,16.3,847.7,16.4,16.6,96.6,262,254,0,0,127,0,0,16.8,16.2,12.5
2026-04-22T00:31:25Z,0,0,4.2,0,7.2,0,16.5,847.7,16.6,16.9,96.7,262,254,0,0,127,0,0,17,16.5,12.8
2026-04-22T00:46:32Z,0,0,4.2,0,7.2,0,16.8,847.4,16.8,17.1,96.8,260,254,0,0.1,127,0.7,0.7,17.3,16.7,13
2026-04-22T01:01:39Z,0,0,4.2,0,7.2,0,17,847.4,17.1,17.3,96.8,260,253,0,0,127,0,0,17.5,17,13.2
2026-04-22T01:16:46Z,0,0,4.2,0,7.2,0,17.1,847.5,17.2,17.5,96.8,261,255,0,0.1,127,0.4,0.4,17.6,17.1,13.4
2026-04-22T01:31:53Z,0,0,4.2,0,7.2,0,17.2,847.5,17.3,17.5,96.7,259,253,0,0,127,0,0,17.6,17.1,13.4
2026-04-22T01:47:00Z,0,0,4.2,0,7.2,0,17.3,847.4,17.4,17.5,96.2,259,253,0,0,142,0.2,0.2,17.7,17.1,13.4
2026-04-22T02:02:21Z,0,0,4.2,0,7.2,0,17.2,847.6,17.2,17.5,95.3,261,253,0,0.2,142,1.1,1.1,17.6,16.9,13.4
2026-04-22T02:17:26Z,0,0,4.2,0,7.2,0,17.3,847.7,17.4,17.5,95,260,254,0,0,142,0,0,17.7,16.9,13.4
2026-04-22T02:32:33Z,0,0,4.2,0,7.2,0,17.2,847.7,17.4,17.6,94.9,261,254,0,0,142,0,0,17.7,17,13.5
2026-04-22T02:47:40Z,0,0,4.2,0,7.2,0,17.2,847.9,17.4,17.6,94.9,258,254,0,0,142,0,0,17.7,17,13.5
2026-04-22T03:02:47Z,0,0,4.2,0,7.2,0,17.3,847.9,17.4,17.6,95,260,255,0,0,142,0,0,17.7,17,13.5
2026-04-22T03:17:54Z,0,0,4.2,0,7.2,0,17.3,847.8,17.5,17.6,95.1,260,258,0,0,142,0,0,17.8,17.1,13.5
2026-04-22T03:33:01Z,0,0,4.2,0,7.2,0,17.3,847.8,17.4,17.7,95.1,263,281,0,0,142,0,0,17.8,17.1,13.6
